4983102,precision,0.0,recall,0.0,['focused crawler', 'web robots rules', 'web robots', 'websites from education', 'enforcement standard', 'ethical robots', 'usage of robots', 'robots rules', 'usage of web', 'robot activities']
11485543,precision,0.1,recall,0.3333333333333333,['web search', 'search task', 'semantic search', 'search problems', 'search application', 'web of data', 'search engines', 'commercial web', 'data semantic', 'evaluation metrics']
7461370,precision,0.0,recall,0.0,['version of irlbot', 'billions of pages', 'html pages', 'web crawler', 'experiments with algorithms', 'web graph', 'single-server implementation', 'implementation and models', 'recent experiment', 'models its performance']
10272014,precision,0.1,recall,0.16666666666666666,['various web forum', 'forum pages', 'web forums', 'various forums', 'data from web', 'extract structured data', 'forum sites', 'various web', 'post pages', 'web applications']
9331037,precision,0.0,recall,0.0,['false positive rate', 'approach by identity', 'method detects phishing', 'keywords-retrieval component', 'positive rate', 'identity discovery', 'component utilizes ir', 'detects phishing', 'identity-based component', 'hybrid phish']
1225527,precision,0.0,recall,0.0,['tree structures', 'xml data', 'other compressed xml', 'tree representations', 'xml representation', 'succinct tree', 'searching xml', 'xml document', 'xml indexing', 'labeled tree']
10950133,precision,0.1,recall,0.16666666666666666,['client-side xss filters', 'client-side filters', 'browser vendors', 'cross-site scripting', 'chrome browser', 'filters cross-site', 'scripts after html', 'scripting flaws', 'filter design', 'xss filters']
9934456,precision,0.0,recall,0.0,['xml schema', 'xml documents', 'xml type', 'various xml', 'classes of xml', 'sets of xml', 'schema designers', 'specifications using various', 'standard document', 'high quality']
4590503,precision,0.0,recall,0.0,['web forms', 'form features', 'space of form', 'partitioningthe space', 'web data', 'domain of onlinedatabases', 'representativeset of domains', 'real web', 'applications and techniques', 'features of eachpartition']
4484921,precision,0.0,recall,0.0,['distributed collaborative tagging', 'distribution of tags', 'tagging systems', 'tagging by users', 'collaborative tagging', 'dynamics behind tagging', 'particular tags', 'tagging history', 'tagging in order', 'many tags']
11570239,precision,0.1,recall,0.16666666666666666,['broken link problem', 'consuming linked data', 'linked data', 'broken link', 'link problem', 'actors consuming linked', 'structured linked', 'such links', 'web of data', 'accessibility of data']
9614136,precision,0.1,recall,0.25,['image search results', 'image search', 'product image', 'group of images', 'other images', 'rank images', 'visual similarity', 'google image', 'image-ranking problem', 'visual link']
583335,precision,0.3,recall,0.75,['document summarization', 'web wireless', 'documents on handheld', 'model for document', 'summarization on handheld', 'summarization model', 'large documents', 'summarization for mobile', 'handheld devices', 'fractal summarization']
7728513,precision,0.1,recall,0.25,['annotations for information', 'language models', 'model for social', 'annotations of documents', 'topical information', 'probabilistic models', 'social annotation', 'background models', 'information retrieval', 'information to language']
680590,precision,0.1,recall,0.5,['summarizing email conversations', 'conversation summarization', 'email conversation', 'conversations with clue', 'sentences in conversation', 'email summarization', 'second novelty', 'clue words', 'framework for email', 'number of emails']
11708130,precision,0.0,recall,0.0,['different folksonomy algorithms', 'navigating social tagging', 'evaluate different folksonomy', 'folksonomy algorithms', 'different folksonomies', 'folksonomies as hierarchical', 'evaluation of folksonomies', 'state-of-the-art folksonomy', 'social tagging', 'folksonomies are useful']
3894952,precision,0.0,recall,0.0,['spam doorway pages', 'spam pages', 'spam double-funnel', 'algorithms against spam', 'redirection spam', 'spam doorway', 'spam links', 'type of spam', 'ads on spam', 'pages redirect traffic']
11394824,precision,0.0,recall,0.0,['email features', 'advanced email', 'email social', 'patterns of email', 'email communication', 'email response', 'intensity of email', 'email usage', 'behavioral profiles', 'social graph']
21587,precision,0.1,recall,0.16666666666666666,['rdf graph', 'readable rdf\\/xml', 'rdf\\/xml document', 'unparsing rdf\\/xml', 'grammar rule', 'design pattern', 'universal algebra', 'top down recursive', 'recursive descent', 'theoretical justification']
690695,precision,0.0,recall,0.0,['search engine repository', 'search engine quality', 'search repository', 'web pages', 'repository of web', 'search engine', 'engine repository', 'user search', 'engine quality', 'search queries']
10389546,precision,0.0,recall,0.0,['database caching', 'caching toolkit', 'template caching', 'client-side database', 'toolkit for data', 'browser across web', 'templates and data', 'client-side template', 'caching approach', 'web applications']
589031,precision,0.1,recall,0.2,['mapping language', 'odemapster processor', 'mappings between relational', 'description of mappings', 'such mapping', 'r2o mapping', 'generic processor', 'processor capable', 'semantic web', 'relational and ontology']
1495443,precision,0.0,recall,0.0,['electronic negotiations', 'design for electronic', 'basis of xml', 'communication design', 'xml schema']
10582584,precision,0.0,recall,0.0,['phrase then dispute', 'dispute finder', 'disputed claims', 'known disputed', 'design of dispute', 'lists of disputed', 'claim database', 'database of known', 'user when information', 'browser extension']
3611227,precision,0.0,recall,0.0,['indexes for similarity', 'lsh forest', 'improving on lsh', 'performance of lsh', 'scheme called lsh', 'similarity search', 'self-tuning indexes', 'indexes for high-dimensional', 'main-memory-based indexes', 'problem of indexing']
677475,precision,0.2,recall,0.3333333333333333,['linguistic matching approaches', 'matching approaches', 'documents approach', 'ontology matching', 'linguistic matching', 'approaches to ontology', 'approach to linguistic', 'document similarity', 'virtual document', 'documents for ontology']
